skill_1,skill_2,frequency
database,learning management systems,3
SQL,TensorFlow,3
Scala,TensorFlow,3
computer programming,process data,3
computer programming,supervision of persons,3
rhetoric,risk management,3
R,Source (digital game creation systems),3
define data quality criteria,semiconductors,3
data visualisation software,identify process improvements,3
liaise with quality assurance,natural gas,3
data analytics,types of tidal stream generators,3
data visualisation software,supervision of persons,3
analyse pipeline database information,data visualisation software,3
radiotherapy,use computer telephony integration,3
User Acceptance Testing,business analysis,3
ICT project management methodologies,User Acceptance Testing,3
Microsoft SharePoint,computer programming,3
ICT project management methodologies,Microsoft Office,3
human-robot collaboration,statistics,3
Kubernetes,machine learning,3
machine learning,types of tidal stream generators,3
Apache Airflow,dbt,3
Apache Spark,TensorFlow,3
Java (computer programming),Scikit-learn,3
Python,principles of artificial intelligence,3
R,algorithms,3
R,principles of artificial intelligence,3
Amazon Web Services,business intelligence,3
cloud technologies,define data quality criteria,3
data visualisation software,define data quality criteria,3
Apache Spark,business intelligence,3
ML (computer programming),computer programming,3
engage with stakeholders,write technical reports,3
demonstrate leadership in social service cases,make decisions,3
demonstrate leadership in social service cases,solve problems,3
demonstrate leadership in social service cases,statistics,3
project management,supervision of persons,3
interact with users to gather requirements,public relations,3
interact with users to gather requirements,write technical reports,3
R,SAP Data Services,3
database,debt classification,3
public relations,write technical reports,3
solve problems,think critically,3
statistics,write technical reports,3
CI/CD,ICT project management methodologies,3
Pentaho Data Integration,statistics,3
ICT project management methodologies,data engineering,3
"data extraction, transformation and loading tools",data warehouse,3
R,use presentation software,3
Tableau,data mining,3
DAX,Power BI,3
Apache Kafka,Apache Spark,3
ML (computer programming),data engineering,3
ML (computer programming),database,3
ski,use computer telephony integration,3
reverse engineering,think creatively,3
Apache Spark,database,3
database management systems,use computer telephony integration,3
database management systems,machine learning,3
machine learning,statistical modeling techniques,3
SQL,principles of artificial intelligence,3
cloud technologies,solar energy,3
database,solar energy,3
computer programming,data engineering,3
communication,make decisions,3
SQL,logic,3
cloud technologies,radiotherapy,3
demonstrate leadership in social service cases,engage with stakeholders,3
business processes,engage with stakeholders,3
engage with stakeholders,public relations,3
engage with stakeholders,solve problems,3
engage with stakeholders,supervision of persons,3
communication,demonstrate leadership in social service cases,3
Large Language Models,natural language processing,3
Performance Optimization,cloud technologies,3
ICT project management methodologies,Requirements Gathering,3
ICT project management methodologies,Software Development Life Cycle,3
Requirements Gathering,Software Development Life Cycle,3
business analysis,business requirements techniques,3
Generative AI,machine learning,3
Java (computer programming),reverse engineering,3
C#,Python,3
C#,SQL,3
Scala,"data extraction, transformation and loading tools",3
CI/CD,Scala,3
SQL,XML,3
morality,statistics,3
Data Governance,cloud technologies,3
demonstrate leadership in social service cases,ski,3
analyse pipeline database information,reverse engineering,3
engage with stakeholders,identify process improvements,3
SQL,analyse pipeline database information,3
machine learning,radiotherapy,3
business intelligence,machine learning,3
Data Governance,data engineering,3
Microsoft Excel,data mining,3
deep learning,electrical machines,3
electrical machines,natural language processing,3
Amazon Athena,R,3
business analysis,communication,3
business analysis,make decisions,3
Scala,solar energy,3
Scikit-learn,machine learning,3
Source (digital game creation systems),cloud technologies,3
Tableau,integrated circuits,3
CI/CD,data models,3
Amazon Web Services,Source (digital game creation systems),3
Source (digital game creation systems),machine learning,3
TensorFlow,database,3
process data,semiconductors,3
SQL,blockchain consensus mechanisms,3
data science,machine learning,3
Microsoft Excel,blockchain consensus mechanisms,3
C++,SQL,3
Docker,Kubernetes,3
Docker,Python,3
CI/CD,cloud technologies,3
JavaScript,SQL,3
JavaScript,computer programming,3
Microsoft Excel,SAS,3
information architecture,radiotherapy,3
data warehouse,radiotherapy,3
business analysis,manage system testing,3
Databricks,R,3
integrated development environment software,solar energy,3
data engineering,process data,3
statistics,think creatively,3
"data extraction, transformation and loading tools",data models,3
Amazon S3,R,3
SQL,Source (digital game creation systems),3
R,natural language processing,3
SQL,Visual Basic,3
computer technology,statistics,3
business processes,public relations,3
business processes,statistics,3
R,learning management systems,3
deep learning,learning management systems,3
data engineering,sing,3
Databricks,"data extraction, transformation and loading tools",3
Jenkins (tools for software configuration management),analyse pipeline database information,3
Microsoft Excel,data visualisation software,3
analyse pipeline database information,database,3
SAS,statistics,3
Apache Airflow,Apache Kafka,3
demonstrate leadership in social service cases,semiconductors,3
business intelligence,data engineering,3
business intelligence,information architecture,3
natural gas,think creatively,3
develop business case,use computer telephony integration,3
business analysis,execute integration testing,3
business analysis,ski,3
business analysis,system design,3
ICT project management methodologies,execute integration testing,3
Git,Snowflake,3
solar energy,types of tidal stream generators,3
data analytics,data engineering,3
computer programming,think creatively,3
business requirements techniques,computer programming,3
principles of artificial intelligence,use computer telephony integration,3
Data Governance,Data Lineage,3
Data Governance,ICT project management methodologies,3
SQL,process data,3
Python,data engineering,3
data engineering,define data quality criteria,3
analyse pipeline database information,semiconductors,3
Data Governance,"data extraction, transformation and loading tools",3
Data Governance,data warehouse,3
Jira,use online tools to collaborate,3
Git,R,3
Apache Airflow,Scala,3
Power BI,data visualisation software,3
Oracle Warehouse Builder,R,3
computer programming,plan,3
business analysis,solar energy,3
SQL,natural language processing,3
SQL Server,"data extraction, transformation and loading tools",3
Agile development,business analysis,3
assess your competences for artistic coaching,statistics,3
assess your competences for artistic coaching,supervision of persons,3
SAP Data Services,radiotherapy,3
database,radiotherapy,3
Scala,deep learning,3
Source (digital game creation systems),database,3
Source (digital game creation systems),deep learning,3
Microservices,machine learning,3
computer programming,data science,3
Data Governance,identify process improvements,3
Scala,analyse pipeline database information,3
Snowflake,data engineering,3
Data Governance,sing,3
integrated circuits,semiconductors,3
Amazon Web Services,cloud technologies,3
Apache Spark,glue film reels,3
Data Governance,SQL,3
Data Governance,apply information security policies,3
Data Lineage,data models,3
Java (computer programming),computer programming,3
TensorFlow,computer programming,3
computer programming,computer vision,3
CI/CD,Jenkins (tools for software configuration management),3
data engineering,principles of artificial intelligence,3
interact with users to gather requirements,plan,3
Jenkins (tools for software configuration management),reverse engineering,3
Oracle Warehouse Builder,Python,3
R,analyse pipeline database information,3
Git,SQL,3
SQL Server,natural gas,3
data models,interact with users to gather requirements,3
computer programming,computer technology,3
computer programming,create prototype of user experience solutions,3
business analysis,create prototype of user experience solutions,3
SQL,solve problems,3
algorithms,data engineering,3
PyTorch,SQL,3
PyTorch,Scala,3
computer simulation,machine learning,3
Power BI,data models,3
Data Governance,perform data cleansing,3
business processes,liaise with quality assurance,3
business analysis,liaise with quality assurance,3
ICT project management methodologies,database,3
interact with users to gather requirements,risk management,3
demonstrate leadership in social service cases,risk management,3
Apache Spark,deep learning,3
SQL Server,integrated circuits,3
Python,cloud technologies,3
computer vision,database,3
Perl,Python,3
Perl,R,3
Oracle Warehouse Builder,SQL Server,3
Scala,Source (digital game creation systems),3
engage with stakeholders,use computer telephony integration,3
Microsoft Azure,Power BI,3
Data Lineage,statistics,3
Data Lineage,natural gas,3
Data Lineage,sing,3
PyTorch,computer programming,3
Python,artificial neural networks,3
Data Governance,communication,3
Agile development,statistics,3
sing,solve problems,3
Tableau,statistics,3
ski,solve problems,3
solve problems,supervision of persons,3
project management,rhetoric,3
interpret seismic data,statistics,3
engage with stakeholders,interpret seismic data,3
manage standards for data exchange,natural gas,3
manage standards for data exchange,statistics,3
business intelligence,sing,3
apply information security policies,natural gas,3
ICT project management methodologies,business intelligence,3
ICT project management methodologies,data analytics,3
data analytics,solar energy,3
CI/CD,R,3
R,project management,3
Pandas,Python,3
data analytics,natural gas,3
business intelligence,data warehouse,3
project management,think creatively,3
natural gas,risk management,3
perform data cleansing,statistics,3
data warehouse,statistics,3
data models,reverse engineering,3
data models,sing,3
data models,data warehouse,3
computer programming,liaise with quality assurance,3
SQL,SQL Server Integration Services,3
machine learning,ski,3
Microsoft Excel,keywords in digital content,3
data visualisation software,database management systems,3
statistics,use presentation software,3
NoSQL,SQL,3
lead process optimisation,machine learning,3
machine learning,process data,3
machine learning,solve problems,3
communication,data visualisation software,3
communication,risk management,3
SQL,database management systems,3
lead process optimisation,statistics,3
Microsoft Excel,Visual Basic,3
SQL,mathematics,3
C++,deep learning,3
integrated circuits,statistics,3
integrated circuits,project management,3
computer programming,"data extraction, transformation and loading tools",3
solve problems,use computer telephony integration,3
fit low vision aids,integrated circuits,3
data models,solve problems,3
data models,supervision of persons,3
