job_id,company_name,title,location,experience,education,work_type,total_skills,programming_languages,databases,bi_tools,cloud_tools,ml_skills,ai_skills,big_data,data_engineering,devops,version_control,etl_tools,spreadsheet,analytics,business_analysis,skill_diversity,analytics_score,data_engineering_score,ai_readiness_score,cloud_score,visualization_score,has_sql,has_python,has_microsoft_excel,has_r,has_power_bi,has_tableau,has_apache_spark,has_amazon_web_services,has_data_governance,has_ci/cd,has_pytorch,has_tensorflow,has_snowflake,has_databricks,has_scikit-learn,has_apache_hadoop,has_git,has_sql_server,has_data_manipulation,has_kubernetes,has_microsoft_azure,has_docker,has_generative_ai,has_azure_devops,has_amazon_s3,has_google_cloud_platform,has_large_language_models,has_dbt,has_mysql,has_azure_data_factory,has_pandas,has_data_lineage,has_amazon_dynamodb,has_amazon_ec2,has_dask,has_sql_server_integration_services,has_infrastructure_as_a_service,has_microsoft_copilot,has_nosql,has_azure_synapse,has_github,has_h2o.ai,has_numpy,has_model_deployment,has_aws_lambda,has_cloud_platform,has_cloud_native,has_amazon_sagemaker,has_data_warehouse,has_bash,has_oracle_sql,has_jsonb,has_recommendation_systems,has_hdfs,has_apache_druid,has_oracle_bi_publisher,has_lakehouse,has_amazon_ecs,has_elastic_load_balancer,has_scipy,has_matplotlib,has_mxnet,has_model_management,has_workflow_orchestration,has_mlops,has_real-time_data_processing,has_explainable_ai,has_bias-variance_tradeoff,has_data_pipeline_optimization,has_modern_data_stack,has_dataset_manipulation,has_unsupervised_learning,has_data_standardization,has_ai_model_development,has_ai_model_deployment,standard_title
3902343179,ATC,Data Analyst-IL,"Illinois, United States",Entry Level,Master’s Degree,FULL_TIME,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
3904957834,Coders Data,Data Analyst,New York City Metropolitan Area,,,FULL_TIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
3905213935,Prodware Solutions,100% Remote - Data Scientist - Transformers,"Johnston, IA",8+ years,,CONTRACT,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist
3885822305,Oshkosh Corporation,"Director, Data Engineering","Oshkosh, WI","Demonstrated experience in Data Management/Reporting/ETL Development tool sets, experience building and leading a large team, experience with various project management methodologies, including Agile methodologies","Bachelor’s degree in data science, mathematics, economics, statistics, engineering or information management",FULL_TIME,11,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer
3903846556,C2FO,Engineering Manager - Data Engineering,Kansas City Metropolitan Area,Five years,Bachelor's degree in Computer Science or a closely related field,FULL_TIME,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Data Engineer
3899522047,Synechron,Sr. Data Engineer _ NYC,New York City Metropolitan Area,10+ years of experience in IT with more than 5 years in financial projects,,FULL_TIME,16,1,1,0,1,0,0,2,1,0,1,1,0,0,0,7,0,4,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,Data Engineer
3904978968,Cornerstone Building Brands,Data Analyst,"Kearney, MO",2 years,"Bachelor’s degree in computer science, Statistics, Mathematics, or related field",FULL_TIME,11,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,Data Analyst
3902840602,Brighton Jones,Data Engineer,"Seattle, WA",2-5 years,"Bachelor's degree in Computer Science, Information Technology, or a related field",FULL_TIME,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,Data Engineer
3903801406,PDSSOFT INC.,Business Analyst,"Denver, CO",,,CONTRACT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analyst
3901962508,Vertiv,Business Analyst,"Anderson, SC",5+ Years of experience maintaining ERP Systems,Bachelor’s Degree Preferred,FULL_TIME,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analyst
