skill,frequency
Web API,1
web services,1
SAP R3,1
Adobe XD,1
Azure Cosmos DB,1
DataOps,1
Unity (digital game creation systems),1
Neo4j,1
Graph Analytics,1
Client-Server Architecture,1
HTTP,1
select soap shaping plate,1
hardware platforms,1
Infrastructure as Code,1
transportation software related to an ERP system,1
GATK,1
HiveQL,1
business ICT systems,1
Google Cloud Dataflow,1
graphic design,1
conduct ICT code review,1
improve rail service delivery,1
mobile operating systems,1
Data Standardization,1
monitor curriculum implementation,1
Image Processing,1
Edge Computing,1
data quality assessment,1
Metabase,1
Graph Theory,1
Oracle DRM,1
